metric,value
generated_at,2026-08-10T21:27:02.549296+00:00
n_evaluated,7000
n_errors,0
classification.accuracy_on_clear_descriptions,0.988
classification.n_clear,6437
classification.vague_descriptions,563
classification.vague_correctly_flagged,563
classification.top_confusions,[]
decisions.verdicts.deferred,2867
decisions.verdicts.correct,4108
decisions.verdicts.wrong,25
decisions.accuracy_including_deferrals,0.587
decisions.accuracy_when_decisive,0.994
decisions.deferral_rate,0.41
decisions.auto_resolution_rate,0.417
decisions.actions.escalate_to_analyst,1947
decisions.actions.request_more_evidence,2134
decisions.actions.auto_approve,2319
decisions.actions.represent_chargeback,516
decisions.actions.auto_deny,84
integrity.friendly_fraud_suspects,424
integrity.flagged_or_escalated,424
integrity.detection_rate,1.0
timing.mean_s,0.026
timing.p95_s,0.043
fairness.counterfactual_sample,200
fairness.outcome_changed,0
fairness.invariance_rate,1.0
fairness.changed_cases,[]
